# step cn bias_eV energy_eV temperature_K
72000 0.305781 4.1817608448e-03 -273324.062500 317.38
72500 0.188397 1.5699541959e-02 -273324.093750 287.68
73000 0.155321 3.2086378485e-02 -273324.437500 301.88
73500 0.174805 5.3048434510e-02 -273324.750000 297.62
74000 0.268250 6.8513973694e-02 -273323.031250 307.21
74500 0.349267 7.0464175662e-02 -273323.437500 297.71
75000 0.244197 1.0127278365e-01 -273324.375000 309.15
75500 0.255708 1.1669836894e-01 -273324.812500 284.61
76000 0.280829 1.2932495837e-01 -273325.562500 300.71
76500 0.388656 1.1002939261e-01 -273325.656250 287.75
77000 0.260466 1.5644628833e-01 -273323.875000 281.34
77500 0.282752 1.6876395438e-01 -273323.812500 288.42
78000 0.277451 1.8227459064e-01 -273323.437500 308.82
78500 0.234815 1.9216089745e-01 -273324.906250 277.00
79000 0.148788 1.6384983023e-01 -273325.187500 288.84
79500 0.118480 1.5490734154e-01 -273324.093750 293.43
80000 0.111806 1.6323389683e-01 -273323.843750 292.50
80500 0.152592 2.0548438337e-01 -273324.343750 317.81
81000 0.141761 2.1016433072e-01 -273326.593750 303.42
81500 0.152553 2.2877695641e-01 -273324.656250 283.12
82000 0.097785 1.9761496345e-01 -273324.750000 281.65
82500 0.148440 2.4853953083e-01 -273324.250000 309.63
83000 0.130199 2.4650608552e-01 -273325.093750 276.01
83500 0.162257 2.7705046696e-01 -273325.125000 307.98
84000 0.121771 2.5978738894e-01 -273325.906250 289.38
84500 0.144474 2.8647037561e-01 -273324.718750 292.39
85000 0.251557 3.0724934381e-01 -273325.375000 301.07
85500 0.336580 2.5255620071e-01 -273324.406250 309.01
86000 0.183867 3.2780600702e-01 -273325.593750 286.21
86500 0.221673 3.4032509581e-01 -273324.625000 315.34
87000 0.361155 2.4772219033e-01 -273325.062500 299.40
87500 0.471686 1.4855498788e-01 -273323.812500 300.47
88000 0.359349 2.7052348342e-01 -273324.406250 298.14
88500 0.459647 1.7965142879e-01 -273324.843750 306.77
89000 0.477588 1.7766449324e-01 -273323.656250 287.43
89500 0.450931 2.1237643985e-01 -273325.656250 286.58
90000 0.427761 2.4490694812e-01 -273325.843750 302.96
90500 0.471350 2.1676682004e-01 -273325.156250 300.94
91000 0.396415 2.9499333016e-01 -273325.281250 304.00
91500 0.487241 2.2302849481e-01 -273325.406250 302.33
92000 0.523827 2.0686919371e-01 -273324.531250 307.83
92500 0.498039 2.3720436979e-01 -273324.312500 278.93
93000 0.563906 2.0439516194e-01 -273324.062500 302.52
93500 0.554250 2.2154317998e-01 -273322.468750 313.29
94000 0.594687 2.1248775550e-01 -273323.687500 294.91
94500 0.533761 2.5576874783e-01 -273324.125000 310.10
95000 0.530938 2.6770480004e-01 -273323.750000 300.22
95500 0.707226 2.1469647789e-01 -273324.156250 306.59
96000 0.639493 2.3510154533e-01 -273322.531250 324.24
96500 0.551297 2.8127930285e-01 -273323.187500 302.82
97000 0.538138 2.9742731799e-01 -273323.312500 291.40
97500 0.628818 2.6499803540e-01 -273323.625000 287.71
98000 0.627732 2.7537028173e-01 -273323.968750 296.64
98500 0.324390 4.0574668430e-01 -273324.531250 290.76
99000 0.438035 3.7117626181e-01 -273323.343750 314.37
99500 0.563942 3.1864496333e-01 -273321.968750 299.93
100000 0.554603 3.3180621106e-01 -273324.656250 295.66
100500 0.588759 3.2323358973e-01 -273324.156250 305.65
101000 0.772873 2.7315993578e-01 -273323.875000 290.31
101500 0.546676 3.5523147317e-01 -273324.625000 282.68
102000 0.572292 3.5146308475e-01 -273325.187500 306.02
102500 0.520560 3.8137345750e-01 -273324.281250 266.85
103000 0.543350 3.7929454669e-01 -273324.562500 310.00
103500 0.435650 4.2034947962e-01 -273323.750000 309.96
104000 0.248093 4.2728046419e-01 -273324.531250 292.61
104500 0.345613 4.4460850702e-01 -273324.250000 305.05
105000 0.246695 4.3799997116e-01 -273325.187500 274.32
105500 0.333856 4.5661231677e-01 -273324.968750 283.13
106000 0.311008 4.6287231152e-01 -273324.281250 300.64
106500 0.288514 4.6658046866e-01 -273325.250000 309.18
107000 0.217985 4.4372494062e-01 -273323.843750 273.53
107500 0.187900 4.2553769220e-01 -273325.062500 302.88
108000 0.220174 4.5752559454e-01 -273325.343750 274.19
108500 0.205812 4.5308716541e-01 -273324.031250 312.70
109000 0.206601 4.5962810675e-01 -273325.125000 314.01
109500 0.150454 4.0757923065e-01 -273324.156250 287.23
110000 0.206021 4.7127529422e-01 -273323.125000 298.55
110500 0.195921 4.6868483284e-01 -273323.843750 311.14
111000 0.155224 4.3105750317e-01 -273323.406250 285.61
111500 0.141574 4.1946815314e-01 -273324.218750 291.69
112000 0.124035 4.0081808242e-01 -273324.531250 313.08
112500 0.099021 3.6825972764e-01 -273323.437500 296.99
113000 0.128532 4.2167925030e-01 -273324.968750 282.11
113500 0.117571 4.1172804522e-01 -273324.500000 288.91
114000 0.085316 3.6552002605e-01 -273324.937500 296.71
114500 0.075790 3.5649823876e-01 -273324.937500 310.43
115000 0.042008 3.0362406048e-01 -273326.062500 281.26
115500 0.043001 3.1438069979e-01 -273325.281250 296.38
116000 0.066095 3.6450005760e-01 -273324.218750 304.78
116500 0.068920 3.7704815164e-01 -273323.375000 300.32
117000 0.051383 3.5301767114e-01 -273323.937500 292.27
117500 0.056732 3.7048809035e-01 -273324.156250 295.08
118000 0.053640 3.7236269249e-01 -273323.968750 308.93
118500 0.051512 3.7591910879e-01 -273324.031250 299.68
119000 0.046487 3.7409676483e-01 -273323.000000 302.07
119500 0.060518 4.0677988626e-01 -273323.656250 320.89
120000 0.058986 4.1079326095e-01 -273323.843750 296.86
120500 0.059073 4.1761037353e-01 -273324.281250 289.66
121000 0.070642 4.4434806429e-01 -273324.437500 298.42
121500 0.084742 4.7375731260e-01 -273324.625000 277.13
122000 0.053117 4.2495415918e-01 -273324.406250 291.04
122500 0.059214 4.4237493317e-01 -273323.593750 294.96
123000 0.049727 4.3123952989e-01 -273324.093750 301.47
123500 0.076403 4.8432691178e-01 -273323.312500 321.12
124000 0.070701 4.8021562951e-01 -273321.781250 318.84
124500 0.053259 4.5485188752e-01 -273323.812500 313.70
125000 0.086304 5.1686628653e-01 -273323.468750 299.34
125500 0.054654 4.6816297875e-01 -273323.031250 289.69
126000 0.064098 4.9078431096e-01 -273324.843750 312.98
126500 0.051881 4.7406689009e-01 -273324.218750 257.29
127000 0.050067 4.7628347049e-01 -273325.406250 314.39
127500 0.038598 4.5993480514e-01 -273325.500000 290.29
128000 0.052569 4.9228610767e-01 -273324.593750 293.68
128500 0.032073 4.5816487462e-01 -273324.281250 295.96
129000 0.028539 4.5692019155e-01 -273322.687500 274.59
129500 0.039397 4.8429359044e-01 -273323.718750 304.34
130000 0.029812 4.7077469313e-01 -273323.718750 301.07
130500 0.040933 4.9833624320e-01 -273324.218750 291.08
131000 0.062004 5.4213702220e-01 -273324.750000 284.81
131500 0.034549 4.9565125557e-01 -273324.187500 302.72
132000 0.025644 4.8294830819e-01 -273325.843750 303.40
132500 0.037162 5.1152138437e-01 -273323.781250 294.97
133000 0.036720 5.1569813628e-01 -273324.468750 322.17
133500 0.037458 5.2213155335e-01 -273326.125000 295.14
134000 0.037615 5.2733687394e-01 -273323.875000 316.52
134500 0.036717 5.3040504470e-01 -273324.562500 288.07
135000 0.027786 5.1727751029e-01 -273324.687500 309.09
135500 0.023252 5.1288240679e-01 -273322.781250 304.14
136000 0.024150 5.1977542607e-01 -273323.625000 295.01
136500 0.025856 5.2823349853e-01 -273323.062500 306.35
137000 0.027869 5.3718000527e-01 -273323.375000 296.25
137500 0.020776 5.2716033697e-01 -273322.843750 292.71
138000 0.023392 5.3747262166e-01 -273322.843750 301.07
138500 0.030125 5.5597254645e-01 -273323.093750 288.73
139000 0.021114 5.4184957379e-01 -273322.000000 312.86
139500 0.018994 5.4200276355e-01 -273323.156250 299.83
140000 0.017665 5.4380806039e-01 -273323.468750 289.62
140500 0.021829 5.5724012488e-01 -273323.968750 298.80
141000 0.016104 5.4951521570e-01 -273324.875000 292.62
141500 0.021302 5.6511715387e-01 -273324.625000 300.45
142000 0.019094 5.6480070974e-01 -273326.000000 282.29
142500 0.020081 5.7124487902e-01 -273325.031250 288.13
143000 0.018425 5.7200568754e-01 -273324.437500 304.35
143500 0.030663 6.0152461951e-01 -273325.750000 305.91
144000 0.042328 6.2780382036e-01 -273324.281250 290.49
144500 0.021926 5.9122318174e-01 -273324.218750 308.06
145000 0.020771 5.9283746350e-01 -273325.218750 277.91
145500 0.022335 6.0015503000e-01 -273324.468750 303.07
146000 0.025066 6.0977487576e-01 -273324.625000 299.50
146500 0.017426 5.9752546138e-01 -273324.781250 313.61
147000 0.017301 6.0123355522e-01 -273323.375000 295.49
147500 0.011358 5.9216649290e-01 -273324.750000 314.07
148000 0.015275 6.0481813348e-01 -273323.906250 306.02
148500 0.025060 6.2942074735e-01 -273323.281250 309.19
149000 0.015444 6.1271712952e-01 -273324.593750 287.39
149500 0.016138 6.1803736538e-01 -273323.437500 297.86
150000 0.018618 6.2713159139e-01 -273323.875000 308.68
150500 0.012301 6.1704893208e-01 -273324.375000 292.01
151000 0.013140 6.2267281308e-01 -273323.718750 308.39
151500 0.013423 6.2700612756e-01 -273325.093750 286.98
152000 0.012162 6.2788609518e-01 -273325.406250 290.40
152500 0.016745 6.4157061914e-01 -273324.968750 308.90
153000 0.017918 6.4761220970e-01 -273324.656250 292.21
153500 0.018919 6.5321222139e-01 -273323.343750 306.35
154000 0.013107 6.4402209317e-01 -273324.500000 295.45
154500 0.013429 6.4822897414e-01 -273325.718750 267.14
155000 0.010754 6.4574318953e-01 -273323.750000 293.59
155500 0.007176 6.4112640091e-01 -273324.812500 296.65
156000 0.010930 6.5314403281e-01 -273324.250000 330.68
156500 0.008952 6.5210468495e-01 -273324.437500 294.83
157000 0.011408 6.6104234898e-01 -273326.000000 291.83
157500 0.010709 6.6281588531e-01 -273325.187500 300.60
158000 0.010555 6.6579225807e-01 -273325.750000 277.37
158500 0.008145 6.6364240078e-01 -273326.468750 310.83
159000 0.009223 6.6940046638e-01 -273325.875000 309.74
159500 0.005926 6.6513264697e-01 -273325.625000 285.73
160000 0.005436 6.6729915262e-01 -273322.906250 286.43
160500 0.005296 6.7025491514e-01 -273324.687500 294.94
161000 0.005452 6.7386869593e-01 -273323.687500 268.64
161500 0.003933 6.7355961611e-01 -273323.937500 290.00
162000 0.004890 6.7901149843e-01 -273324.906250 297.70
162500 0.003304 6.7848602987e-01 -273323.125000 285.82
163000 0.004308 6.8401168042e-01 -273324.500000 274.96
163500 0.002801 6.8361593721e-01 -273324.312500 304.08
164000 0.003423 6.8821026271e-01 -273325.625000 292.05
164500 0.003206 6.9079757477e-01 -273325.687500 294.96
165000 0.004364 6.9657968071e-01 -273323.156250 304.86
165500 0.003723 6.9810673205e-01 -273323.781250 286.36
166000 0.003806 7.0131504231e-01 -273322.937500 312.30
166500 0.003909 7.0453953187e-01 -273322.687500 293.02
167000 0.003540 7.0663661588e-01 -273325.750000 291.13
167500 0.003269 7.0894239321e-01 -273325.562500 301.09
168000 0.005978 7.1816265891e-01 -273324.343750 299.95
168500 0.003087 7.1428801832e-01 -273325.187500 303.30
169000 0.004979 7.2158423234e-01 -273325.062500 285.00
169500 0.006740 7.2846391704e-01 -273325.250000 287.70
170000 0.005662 7.2875684529e-01 -273324.250000 292.70
170500 0.006444 7.3332300804e-01 -273324.531250 306.23
171000 0.005299 7.3341870383e-01 -273324.406250 306.71
171500 0.005417 7.3642258839e-01 -273324.625000 298.82
172000 0.004963 7.3808194050e-01 -273324.250000 283.78
172500 0.004729 7.4023645828e-01 -273325.250000 300.27
173000 0.005340 7.4433216027e-01 -273323.812500 302.24
173500 0.005549 7.4746765861e-01 -273324.562500 304.08
174000 0.008929 7.5779698937e-01 -273324.187500 279.90
174500 0.006270 7.5430967855e-01 -273323.281250 315.57
175000 0.008691 7.6239422030e-01 -273324.906250 292.30
175500 0.006504 7.5994582430e-01 -273324.000000 292.54
176000 0.005811 7.6089309570e-01 -273326.000000 294.88
176500 0.005816 7.6343619137e-01 -273325.281250 266.08
177000 0.007019 7.6871055812e-01 -273325.156250 322.93
177500 0.005961 7.6876334503e-01 -273323.937500 289.90
178000 0.006762 7.7308036688e-01 -273324.250000 312.20
178500 0.006579 7.7510854201e-01 -273325.437500 309.69
179000 0.005507 7.7507673360e-01 -273324.906250 294.21
179500 0.006350 7.7945472379e-01 -273324.625000 285.92
180000 0.006902 7.8312347418e-01 -273325.625000 294.48
180500 0.005608 7.8253238772e-01 -273323.812500 305.23
181000 0.006229 7.8634849223e-01 -273326.156250 287.36
181500 0.008140 7.9306459400e-01 -273325.218750 307.70
182000 0.007655 7.9428327621e-01 -273324.187500 285.17
182500 0.007586 7.9643510687e-01 -273324.406250 312.19
183000 0.007696 7.9898074063e-01 -273325.656250 307.09
183500 0.005749 7.9680472715e-01 -273324.187500 297.24
184000 0.008206 8.0470658672e-01 -273324.062500 303.52
184500 0.006772 8.0369243675e-01 -273326.000000 306.74
185000 0.006367 8.0501491856e-01 -273325.406250 308.87
185500 0.005280 8.0474957621e-01 -273327.000000 292.45
186000 0.005812 8.0822299429e-01 -273325.000000 305.16
186500 0.005185 8.0899308086e-01 -273325.812500 283.73
