# step cn bias_eV energy_eV temperature_K
90000 1.157897 4.5744843298e-01 -275287.812500 309.32
90500 1.226242 4.2450107070e-01 -275286.812500 299.08
91000 1.247861 4.1880928929e-01 -275286.937500 300.01
91500 1.397201 3.5455908172e-01 -275288.875000 291.21
92000 1.335940 3.8559673724e-01 -275288.750000 297.47
92500 1.215396 4.5229190486e-01 -275289.625000 277.34
93000 1.345005 3.9274153929e-01 -275287.406250 302.91
93500 1.410278 3.7430964264e-01 -275288.406250 294.02
94000 1.260606 4.4580964444e-01 -275288.843750 291.17
94500 1.126393 5.0723664742e-01 -275291.062500 299.47
95000 1.214776 4.7655889577e-01 -275288.968750 298.91
95500 1.160029 5.0489855560e-01 -275291.031250 309.71
96000 1.117831 5.2471434562e-01 -275289.250000 293.15
96500 1.089181 5.3708788109e-01 -275290.687500 298.00
97000 1.134133 5.2877626663e-01 -275289.031250 302.79
97500 1.164972 5.2159007635e-01 -275289.093750 284.19
98000 1.203101 5.0891301125e-01 -275289.468750 307.53
98500 1.143181 5.3983641894e-01 -275289.968750 276.94
99000 1.120044 5.5194447823e-01 -275288.812500 285.39
99500 1.076317 5.6489183597e-01 -275288.812500 285.41
100000 1.072699 5.6954044773e-01 -275287.968750 306.18
100500 1.098623 5.7017048656e-01 -275289.937500 298.05
101000 1.018363 5.7199954957e-01 -275288.062500 299.80
101500 0.978911 5.5748961132e-01 -275287.187500 306.90
102000 1.087519 5.8369955750e-01 -275288.218750 290.27
102500 1.033276 5.8802323196e-01 -275289.500000 317.07
103000 1.038615 5.9301289956e-01 -275288.781250 295.90
103500 0.751475 2.4460337452e-01 -275288.656250 301.54
104000 0.862996 4.4208981376e-01 -275289.093750 307.02
104500 0.802725 3.4697079029e-01 -275288.718750 301.10
105000 0.650989 1.2653154877e-01 -275288.406250 269.86
105500 0.806641 3.7023493298e-01 -275289.593750 289.03
106000 0.859760 4.6302221720e-01 -275290.156250 281.49
106500 0.801270 3.7403481920e-01 -275288.812500 303.60
107000 0.833150 4.3428797004e-01 -275287.312500 313.49
107500 0.729926 2.6730584012e-01 -275288.187500 294.12
108000 0.838478 4.5668602092e-01 -275288.656250 255.35
108500 0.775398 3.5812142579e-01 -275288.375000 292.26
109000 0.864032 5.0692693607e-01 -275289.187500 294.26
109500 0.893943 5.4993674095e-01 -275287.718750 304.26
110000 0.620339 1.3749483526e-01 -275287.500000 312.28
110500 0.833066 4.7560262165e-01 -275288.562500 293.39
111000 0.826305 4.7072024615e-01 -275288.343750 305.24
111500 0.800106 4.3400087312e-01 -275289.187500 295.52
112000 0.867089 5.4087499100e-01 -275289.093750 282.51
112500 0.916825 5.9887488038e-01 -275289.156250 291.94
113000 0.749219 3.5889785785e-01 -275288.875000 289.49
113500 0.921921 6.1096920246e-01 -275290.562500 272.29
114000 0.896644 5.9237731384e-01 -275288.968750 305.59
114500 0.665834 2.3065476464e-01 -275290.250000 284.61
115000 0.792760 4.5573515527e-01 -275289.437500 290.87
115500 0.849601 5.4945321154e-01 -275288.000000 307.70
116000 0.854303 5.6032985014e-01 -275288.281250 295.98
116500 0.804981 4.9045378846e-01 -275287.625000 296.76
117000 0.687236 2.8856380325e-01 -275287.218750 297.51
117500 0.780752 4.6212123296e-01 -275286.593750 329.12
118000 0.772185 4.5305193052e-01 -275286.687500 289.25
118500 0.754736 4.2812169078e-01 -275288.406250 308.50
119000 0.729709 3.8936875543e-01 -275288.031250 310.18
119500 0.551089 1.2258662696e-01 -275288.156250 270.98
120000 0.451050 5.6628259864e-02 -275286.906250 316.61
120500 0.688159 3.3667919800e-01 -275288.218750 281.45
121000 0.360551 3.6004933590e-02 -275288.812500 294.15
121500 0.235868 2.3057695949e-02 -275287.843750 284.32
122000 0.150644 2.6712493762e-02 -275287.312500 297.61
122500 0.162896 4.8069565911e-02 -275286.875000 284.87
123000 0.104768 5.4387145841e-02 -275287.687500 286.97
123500 0.075467 6.4777523355e-02 -275288.031250 283.98
124000 0.095082 8.7076874039e-02 -275287.906250 286.77
124500 0.081042 9.9824410905e-02 -275288.375000 301.70
125000 0.082713 1.1600637270e-01 -275288.750000 306.60
125500 0.063050 1.2505137210e-01 -275289.250000 275.31
126000 0.061765 1.3928103645e-01 -275288.531250 297.35
126500 0.070415 1.5621134421e-01 -275288.343750 321.56
127000 0.079440 1.7219013397e-01 -275286.968750 298.35
127500 0.074442 1.8372855719e-01 -275288.062500 280.88
128000 0.061566 1.9197869739e-01 -275287.843750 319.17
128500 0.065436 2.0555791368e-01 -275288.343750 279.87
129000 0.068833 2.1842654264e-01 -275288.812500 307.02
129500 0.070996 2.3042945862e-01 -275287.781250 300.62
130000 0.063344 2.3884953804e-01 -275289.562500 314.44
130500 0.068647 2.5137646222e-01 -275287.750000 304.96
131000 0.050100 2.5419752932e-01 -275288.750000 308.65
131500 0.095358 2.7648619874e-01 -275287.468750 301.32
132000 0.114514 2.8480934924e-01 -275288.750000 296.59
132500 0.100337 2.9556518500e-01 -275288.156250 291.02
133000 0.168509 2.7914859683e-01 -275287.687500 296.98
133500 0.224380 2.4134382283e-01 -275288.093750 297.18
134000 0.133388 3.1629694303e-01 -275288.125000 304.08
134500 0.286547 1.9739583002e-01 -275288.937500 311.20
135000 0.297759 1.9904607799e-01 -275285.843750 293.52
135500 0.267323 2.3968510842e-01 -275289.125000 287.80
136000 0.251727 2.6545595603e-01 -275289.093750 302.53
136500 0.263615 2.6388826840e-01 -275286.906250 299.07
137000 0.367435 1.8261390911e-01 -275289.375000 290.75
137500 0.226951 3.1635013107e-01 -275288.218750 310.52
138000 0.330198 2.3016095783e-01 -275287.343750 292.70
138500 0.350660 2.2409529740e-01 -275287.125000 304.33
139000 0.343487 2.4104851042e-01 -275288.968750 284.46
139500 0.390830 2.1676156876e-01 -275289.625000 289.94
140000 0.323491 2.7883836935e-01 -275289.531250 294.37
140500 0.252640 3.4587657410e-01 -275288.687500 307.11
141000 0.175416 3.9431928654e-01 -275289.687500 298.25
141500 0.243976 3.6639059865e-01 -275289.437500 299.32
142000 0.280459 3.4476930361e-01 -275288.125000 296.97
142500 0.238058 3.8579741578e-01 -275286.593750 287.13
143000 0.302754 3.3953591959e-01 -275286.937500 297.07
143500 0.297857 3.5214962790e-01 -275289.125000 306.83
144000 0.333530 3.2623497044e-01 -275288.593750 304.94
144500 0.386792 2.8424921592e-01 -275288.343750 282.34
145000 0.243003 4.1731575391e-01 -275289.468750 284.50
145500 0.283883 3.9421141906e-01 -275288.125000 294.54
146000 0.282652 4.0220497003e-01 -275288.000000 294.41
